t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
2.630,0.924870,0.642200,0.509298,0.423743,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.647,0.925151,0.638052,0.509289,0.423819,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.663,0.925431,0.633907,0.509280,0.423895,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.679,0.925695,0.630011,0.509270,0.423971,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.695,0.925959,0.626118,0.509261,0.424047,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.712,0.926239,0.621986,0.509252,0.424123,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.729,0.926502,0.618101,0.509243,0.424199,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.745,0.926781,0.613978,0.509233,0.424275,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.762,0.927044,0.610101,0.509224,0.424350,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.779,0.927323,0.605985,0.509215,0.424426,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.795,0.927601,0.601874,0.509206,0.424502,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.812,0.927863,0.598008,0.509197,0.424577,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.828,0.928141,0.593905,0.509187,0.424653,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.845,0.928402,0.590048,0.509178,0.424728,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.862,0.928680,0.585953,0.509169,0.424803,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.878,0.928957,0.581862,0.509160,0.424878,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.895,0.929218,0.578016,0.509151,0.424954,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.912,0.929494,0.573933,0.509142,0.425029,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.929,0.929770,0.569855,0.509132,0.425104,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
